[1.28930000e+04 1.12140129e-04]
[1.28940000e+04 6.52710078e-05]
[1.28950000e+04 7.64217184e-05]
[1.28960000e+04 1.10389461e-04]
[1.28970000e+04 9.77496602e-05]
[1.28980000e+04 1.36961229e-04]
[1.28990000e+04 1.39510914e-04]
[1.2900000e+04 2.0382239e-04]
[1.29010000e+04 1.08990396e-04]
[1.29020000e+04 1.01220656e-04]
[1.29030000e+04 1.35822731e-04]
[1.29040000e+04 1.15685951e-04]
[1.29050000e+04 6.62863167e-05]
[1.29060000e+04 1.01457488e-04]
[1.29070000e+04 9.98875985e-05]
[1.29080000e+04 1.03402883e-04]
[1.29090000e+04 1.06899839e-04]
[1.29100000e+04 9.16829085e-05]
[1.291100e+04 1.184746e-04]
[1.29120000e+04 1.12829221e-04]
[1.29130000e+04 1.01653182e-04]
[1.29140000e+04 1.54531095e-04]
[1.29150000e+04 1.01457619e-04]
[1.29160000e+04 1.01134945e-04]
[1.29170000e+04 1.13703565e-04]
[1.29180000e+04 1.07358945e-04]
[1.2919000e+04 1.1494755e-04]
[1.29200000e+04 9.59482641e-05]
[1.29210000e+04 1.11224457e-04]
[1.29220000e+04 9.46795844e-05]
[1.29230000e+04 9.78785465e-05]
[1.29240000e+04 9.93689828e-05]
[1.29250000e+04 1.21637924e-04]
[1.29260000e+04 1.02430102e-04]
[1.29270000e+04 1.19420984e-04]
[1.29280000e+04 1.24830534e-04]
[1.29290000e+04 1.07198895e-04]
[1.29300000e+04 1.09830748e-04]
[1.29310000e+04 6.95108174e-05]
[1.29320000e+04 8.90975207e-05]
[1.29330000e+04 9.50271278e-05]
[1.29340000e+04 1.10425892e-04]
[1.29350000e+04 9.29688831e-05]
[1.2936000e+04 1.0735738e-04]
[1.29370000e+04 1.07937631e-04]
[1.29380000e+04 1.15705712e-04]
[1.29390000e+04 1.07407461e-04]
[1.294000e+04 1.077282e-04]
[1.29410000e+04 1.23400008e-04]
[1.29420000e+04 9.22972104e-05]
[1.29430000e+04 1.05678919e-04]
[1.29440000e+04 1.16364958e-04]
[1.29450000e+04 9.63731145e-05]
[1.29460000e+04 1.16816824e-04]
[1.29470000e+04 1.46230683e-04]
[1.2948000e+04 1.9040698e-04]
[1.29490000e+04 1.18770229e-04]
[1.29500000e+04 1.13435781e-04]
[1.29510000e+04 1.05959589e-04]
[1.29520000e+04 1.07704036e-04]
[1.29530000e+04 1.03492035e-04]
[1.29540000e+04 1.13443028e-04]
[1.29550000e+04 1.11574438e-04]
[1.29560000e+04 1.22114288e-04]
[1.29570000e+04 1.05773855e-04]
[1.29580000e+04 1.19580669e-04]
[1.29590000e+04 1.22172336e-04]
[1.29600000e+04 2.19933776e-04]
[1.29610000e+04 8.14199448e-05]
[1.29620000e+04 2.35998305e-04]
[1.29630000e+04 8.33974918e-05]
[1.29640000e+04 1.25529725e-04]
[1.29650000e+04 5.67335112e-04]
[1.2966000e+04 1.0935343e-04]
[1.29670000e+04 1.34365415e-04]
[1.29680000e+04 1.73431821e-04]
[1.29690000e+04 1.35380978e-04]
[1.297000e+04 1.835109e-04]
[1.29710000e+04 9.37052464e-05]
[1.29720000e+04 1.11086505e-04]
[1.2973000e+04 1.1281349e-04]
[1.29740000e+04 1.42911638e-04]
[1.29750000e+04 3.09962168e-04]
[1.29760000e+04 1.53505374e-04]
[1.29770000e+04 2.19257534e-04]
[1.29780000e+04 1.01015896e-04]
[1.29790000e+04 1.24677244e-04]
[1.29800000e+04 1.62943063e-04]
